Name,Address,Rating,Place ID,Reviews,Distance from Center
Café Bulgakov,"Strada Inocențiu Micu Klein 17, Cluj-Napoca",4.6,ChIJxUdgmYIOSUcRDLA-KKOYGRY,"Robert Simoiu: I've been here several times and the food was always good. The garden is really nice, I recommend making a reservation if you plan to eat at a busy time.
They have various food, from Romanian local dishes to normal international ones.
The burger and the sauce were good, along with the soup. Polenta (mămăligă) was decent, it could've been better, it didn't had anything special.; Mishal Almudhaf: Outstanding food.! The salad was a simple cucumber, tomatoes, onions, and cabbage. Nothing extraordinary. However, my Moma’s Chicken was exceptional. Very flavorful strong Gorgonzola cheese flavor played a major role in the dish.

The prices are very good here, and not as expensive as the other restaurants I’ve been to!

Highly Recommend!; Fotograf_Swe (Mr.Sever Clear): Very satisfied with this restaurant. Food is delicious.
I've eat here with whole family.
New update 2024 come back for Christmas. Good food as always .😍; Jamal Yo: Really great food. And traditional Romanian food as well. You can try tripe soup or cabbage soup etc. Also the best is great and to our satisfaction the waiter was speaking fluently in English. He was also helpful and kind. Big 5 from me; Miruna-Ioana Vasiu: The food has been so great, delicious, and nourishing that I forgot to take a picture of it, my bad. But I'll tell you what we tried:
- 2 Bulgakov Burgers, it has a side dish of French fries and sauce included, and the meat is Pljeskavica
- 1 dense and dark hot chocolate
- 1 simple lemonade
- Papanași with chocolate (although in the menu they appear as Papanași with blueberry jam and sour cream, you may order them with Fineti/ chocolate, and they'll serve it as your ordered)

The venue is spectacular. It felt as if you walked in a fairytale. It also has a splendid patio.

The waiters are very polite and nice, but they should work on punctuality. We arrived at 9:00 p.m., one waiter gave us the menus, we decided, and only after 25 minutes another waiter took our order. The food and drinks arrived pretty quickly, but the initial waiting has been annoying. Anyway, all in all, it's a 5-star restaurant.",0.44
Via Restaurant,"City Center, Strada Inocențiu Micu Klein 6, Cluj-Napoca",4.6,ChIJIzJNHCgMSUcRWMGCKIY7FPE,"Joost Francien Verbaan: Quite interesting restaurant sering great wines and delicious food. Staff is almost military organized which was fun to watch. The chicken provencal was great and we lo ed the starters. All in all a really good place to go especially when you compare it to some other romanian gourmand experiences; Ivaylo Marinov: Nice experience!
Interesting restaurant.
We were in the first room just after main entrance.
Cozy place, relaxing atmosphere.
Service was very good.
Food was definitely tasty and well presented.
Reasonable prices.
Maybe just the salmon fillet was not according to my taste and I did not really liked it but all the rest was great.
However, we enjoyed our visit and I would definitely visit the place again if I have the chance.; Ana Maria: Amazing dine in experience! Everything was great, food was amazing from starter to desert. We asked for recommendation for wine and it didn t disappoint! Highly recommend this restaurant!!!; Nhung Đoàn: The food was delicious. I ordered duck breast and it was cooked to perfection with slightly crispy skin and moist inside. The lemonade is also tasty and refreshing.; Ana Maria: We had an excellent dinning experience! The food, the dessert and the wine were great! We liked the place because it was cozy and elegant and the waiters were very kind and well trained. We highly recommend the restaurant.",0.36
La Cina Restaurant,"Strada Constantin Dobrogeanu Gherea 25, Cluj-Napoca",4.2,ChIJ5xoVbyEMSUcR2ubanN4TxOE,"Angi Cristina: Very good food but but no AC and low serving. We heard the same 10 songs over and over again and we wanted to run away because not having AC on 35 degrees is....exhausting.; Matt Margaras: Stopped for a quick Lunch
Only few items from the menu available.
Servi generally speaking was ok, the man in charge to serve us was trying to promote only one thing from the menu, because other n/a; Andrei Verestiuc: For me, I think it's the best place in town to eat the menu of the day.
The place looks ok, serving is ok, but the food taste is simply perfect.; Tudor Moldovan: Unfortunately it was not so good! The food was mediocre, the atmosphere and the ambiance were not up to the standard and the prices were kind of high for what we got. Not going to recommend the place, you should avoid it!; Spiridon Alexandru: The food was ok, but the waiter attitude was lacking.

I went there with my girlfriend today and ordered a menu for me, as she didn't want to eat anything. She decided to buy an apple juice that was 8 RON in the menu, but after we received the apple juice, we saw that the daily menu apple juice was 5 RON, so we asked the waiter if we could add it to the already ordered menu.

We received a strong 'NO' and when asked why, he said he's gonna ask. Well, he didn't, didn't say anything and on the check the apple juice was 8 RON.

I can understand if the serving sizes differ in the daily menu versus the normal menu, but there was no need for such an attitude. A simple friendly explanation would have been sufficient.

Overall, would not recommend.",0.7
The Doner Place,"City Center, Strada Gheorghe Șincai 7, Cluj-Napoca",4,ChIJH2J224IOSUcRJRg5zBSfslg,"Ebrahem Droobi: Tasty doner!!

The girls were very proficient. They speak English.

Dine in is available.
They offer takeout and over the phone orders.
Bathroom is available.

Prices are very reasonable.

Parking is by the side of the street. In case no parking spot by the restaurant then you have to walk a little bit.

Cheers; Adrian Bilc: The new location looks good and they have the same team as they had in the old place. It might be that they don't have a lot of customers in this period and therefore quality of the food is not great. From my point of food, even though it's a fast-food, the taste is not as good as it used to be. Hopefully they will solve this and they will have a 5 star.; Georgios: Ordered and paid with a card for delivery, after a really long wait I got a phone call from the delivery guy (I will analyze below more details) and he was insisting for me to go downstairs, outside to get the food. I explained that it was not possible and he told me that he will leave with a very bad manner, tone of voice and language. I talked with the delivery app and told them the situation and that I decided not to get the food after the way I was treated. Later on another delivery guy came, and called us the second delivery guy was very calm and cooperative to discuss but we already cancelled the order now through the app. He explained that the previous delivery guy was not a delivery guy, but the Doner Place payed a taxi driver to come and bring the food. A taxi driver that is not verified and not qualified through any hygienic means to touch the food that I will put in my mouth. A very unprofessional way from the Doner Place, as it shows how much attention they give for hygiene; Mark Chandler: Very friendly and accommodating staff. My wife was in hospital in Cluj, and they let me stay there all day to wait. It is clean , the food is great, and the portions are large. Come with an appetite. I would not eat anywhere else. I loved it there.; Vlad Costea: Think twice if you want to order food through delivery. First of all, they handle the delivery themselves even if you order with Glovo. There are no updates about the delivery, no status, nothing. We had to wait 2 hours for 2 plates when, initially, they gave out an estimate up to 70 minutes, which is still massive. Get your act together or stop delivering!",0.46
UBB Casa Universitarilor,"Strada Mihail Kogălniceanu 5, Cluj-Napoca",4.5,ChIJ042X0ycMSUcR3YSKs7YnE9M,"Richard Gonlag: Food was good except for the French fries. They were  hard and not very pleasant to eat.; Alutka: very tasty!; Tudor Neag: Pretty good restaurant. Not state-of-the-art cuisine, but nice just for menu of the day and such. Conveniently located near Babeș-Bolyai University, Emil Racoviță College, Bastionul Croitorului and other schools and institutions. Also hosts events, like weddings.
Menu of the day with several options to choose from.; Alexandru Pop (Sandu): Ok; romulus borbely: Ok",0.29
Karolina Augusta,"Strada Constantin Daicoviciu 9, Cluj-Napoca",4.2,ChIJd2kt85wOSUcRCbRFpa3p1aQ,"Andrei Matei: The pizza is good, I recommended pizza “karolina”. On the other side someone ordered a burger and looked like a toast sandwich :)) so It’s a no no; Adrian Z: The place has a really nice atmosphere and a very friendly staff. The terrace is quite cozy, especially if you don't like the tables placed outside, common everywhere else in the area.
Regarding the location, anything they could do to signal where it's placed better would be a big up. But due to the local laws, and restrictions on advertising in the historical center, that blame is not theirs.
It's definitely a place good for hanging out with friends, especially now during the pandemic.; Maximilian Both: I love this place. Good music, excellent food although the portions are really small. Not too many alcohol sortiments, hence the 4 star rating. Service is good and the place is perfect for a nice evening. Sometimes they have small live concerts which is a bonus.; Horatiu Popescu: Nice and enjoyable pub with pretty decent food, good services and fairly good prices. Usual music playing is older rock which makes it enjoyable and not that common. They also organise events like trivia nights. Since it is usually a crowded place reservations are recommended.; Rasta Man: It's a pretty decent place, good food, good wine and cocktails. The terase has a nice vibe and it's simple in a good way. Servers are pretty attentive and pets are welcomed if they don't bother other customers.",0.42
Divino Porcello,"Strada Dávid Ferenc 13, Cluj-Napoca",4.5,ChIJhb27250OSUcRcz_8fgHZ2xc,"Bogdan Hurtupan: Great atmosphere, but details makes Divino Porcello a standard restaurant rather than a high-end one. We went in to have early dinner (around 6PM) and it was us + 2 tables. The service was ok until around 7:30PM, when other people came in and the waiter completely forgot about us. It is true he was alone though and it's not his fault. Food portions are relatively small, that's probably why prices are cheaper.; Robert: This place is a real gem! It's conveniently located close to the heart of the city but far enough to escape the noise and bustle.
We felt very well welcomed from the beginning, our waiter was not only friendly and attentive but also conducted himself with the utmost professionalism.
The food and drinks were delicious and the ambiance of the venue contributed to an overall pleasant experience.; Dan Manastireanu: Great food and a very nice atmosphere with Spanish guitar music. Friendly and responsive staff.
We enjoyed it and will come again to try more of the dishes.

We had the tartare and eggplant dipper as starters. Both were good, the tartare was one of our favorite in Cluj.

For the main course, we had Salmon and shrimps, and the Iberico special. Both are very tasty, with interesting flavors. Would recommend both.; Sara Fekete: Everything was divine. The food was super delicious at an affordable price. The service was great and the atmosphere was cozy and romantic.; Andreea Feier: Lovely atmosphere and very good food.",0.27
Shanghai Express,"Strada Memorandumului 4, Cluj-Napoca",4.3,ChIJV-x-Ip0OSUcRZW6dKFyHFZU,"Victor-Florin Simon: Tasty food. To hot inside during summer days. There are two women serving, one every other day. One of them is really cheap and adds just o bit of chicken and sauce with rice and the other one adds o whole lot more. Overall it's a good place to eat. The picture below shows how you want a meal here to look like. The A/C isn't always on, I suspect the same person that offers less food to be culprit :). Overall I recommend it.; Carlotta Zocco: Not very good and expensive compared to the quality of food; Vendel-Szilamér “Sisko” Varró: This franchise has the best value for money among asian restaurants in town. Not only the food keeps you going back from time to time, but the excellence of service too, thanks to one especially kind and caring seller.; Cozma Daniel: I like very much!
Good food, the persons are nice.; Andrea Szekely: Excellent food and they always have good deals if you choose your time right. Small place indeed, good if you are in a hurry or you can just have it as a take away.",0.28
Bistro 1568,"Bulevardul 21 Decembrie 1989 14, Cluj-Napoca",4.4,ChIJjzXKiJ0OSUcR1YnC7nqLkMI,"Marius Mucenicu: The restaurant offers a calm and relaxing atmosphere, but the closely packed tables significantly detract from the experience. Sitting at arm’s length from the next table means conversations lack privacy, which can make the setting uncomfortable and awkward.

The food is average—neither impressive nor disappointing—with nice plating being the highlight.

The service is inconsistent. One staff member was friendly and welcoming, creating a pleasant interaction, while another appeared disengaged and cold, which made asking for anything feel uninviting.

Overall, it’s an okay spot, but the lack of intimacy and inconsistent service weigh it down.; Muhamed Mesic: Cuisine inspired by Transylvania, local traditions and ingredients. Friendly service, fast despite the relatively large crowds. Suitable for single diners. Several vegetarian options on the menu, and great selection of drinks including local spirits.; Daniel Oanta: Nice place with a cozy atmosphere, prompt service and good food.; Liviu-Stefanita Baiu: A pleasant early dinner.
The food is great, and the dessert even better.
The service was really nice and the wine  recommendation matched the product quality.
Photos:
Duck with cabbage and dumplings
Beef stew with (a different kind of) dumplings :)
The dessert ... image speaks for itself, and the are hidden surprises; Dan Huma: Think twice before ordering something else besides the main course, the portions are quite big (but this does NOT come at the price of quality).
They put a lot of work in design and in creating a pleasant atmosphere, and everything seems to be in synergy (from music, to furniture, accessoires etc).",0.09
Olivo Bistro,"Bulevardul Eroilor 7, Cluj-Napoca",4.7,ChIJxeo_kCcMSUcRjOAJ3W7T5Ug,"David Stroe: Olivo remains one of the most popular dining destinations in town, consistently delivering high-quality food and service.

The menu is always innovative and exciting, with dishes that are visually appealing and expertly balanced in flavor and texture and with high-quality ingredients.

Their specialty coffee and matcha are exceptional, among the best I've had in a regular restaurant.

While the staff can sometimes appear tired or overwhelmed, they always provide excellent service. And while we primarily visit for breakfast, Olivo is also an excellent choice for dinner.; Mark Dalton: What a brilliant meal! Best of our trip so far (and we’ve had some great food here in Romania. Great service, friendly and helpful.; June CL: Really cute place. I really enjoyed my shrimps, it is really tender and sauce is delicious. First sight I thought the portion is small, but it really wasn’t! Bread is also special and delicious.; Olivia M: Had a great brunch here. The uovo in purgatorio (poached eggs in spicy tomato sauce) was really good with a nice spice. The poached eggs with avocado and crispy guanciale was good too although could have had a bit more guanciale. Service was good and overall a nice and tasty experience!; Mirela Haida: Olivo Bistro Café: My Go-To Spot in Cluj Since 2012

I've been coming to Olivo Bistro Café since 2012, and it’s hands down my favorite place in Cluj. From the moment you step in, the cozy, warm ambiance makes you feel right at home. Whether you're here for a cup of their amazing coffee or a full meal, everything feels thoughtfully crafted and full of flavor.

The food is always exceptional — fresh, local ingredients turned into creative, comforting dishes. Their coffee? Easily some of the best in town. But what really sets Olivo apart is the consistency. The staff are always friendly and attentive, making each visit feel special, whether it’s a quick stop or a lingering dinner.

Olivo has been my go-to for over a decade, and it never disappoints. It’s a place that just feels right, every time.",0.09
